EST;X688_arroz_1;X688_arroz_2;X688_arroz_3;X688_milho_1;X688_milho_2;X688_milho_3;CNPA_arroz_1;CNPA_arroz_2;CNPA_arroz_3;CNPA_milho_1;CNPA_milho_2;CNPA_milho_3;dieta_arroz_1;dieta_arroz_2;dieta_arroz_3;dieta_milho_1;dieta_milho_2;dieta_milho_3;fm993_arroz_1;fm993_arroz_2;fm993_arroz_3;fm993_milho_1;fm993_milho_2;fm993_milho_3;puita_arroz_1;puita_arroz_2;puita_arroz_3;puita_milho_1;puita_milho_2;puita_milho_3
SF1F00030-3-1;2.62;2.67;0;2.17;1.73;0;0.85;2.75;2.21;2.82;2.32;3.37;2.1;1.11;3.21;3.14;2.37;2.44;3.35;1.3;0;3.48;2.95;0;2.86;1.92;1.43;2.22;3.39;0.37
SF1F00109-5-1 Cluster_SF1F00013-3-1;89.06;3949.94;0;50.12;2764.5;0.7;3759.86;99.89;268.97;1069.06;86.78;108.07;2985.54;2356.92;224.18;1451.71;323.04;39.15;435.86;93.29;0.26;197.98;416.94;0;230.96;510.79;3593.11;156.62;393.68;21.9
SF1F00151-5-1 Cluster_SF1F00151-5-1;0;0;3.58;0;0;3.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.61;0;0;1.21;0;0;0;0;0;0.72
SF1F00157-5-1;5.31;68.24;0;4.63;58.06;0;11.77;0;2.52;5.12;0;0;112.3;6.21;0;65.21;1.14;2.81;0;7.36;0;1.28;5.68;0;2.49;2.7;35.13;2.18;6.76;0
SF1F00172-5-1 Cluster_SF1F00172-5-1;65.62;153.92;0.03;35.91;174.1;0.03;57.38;42.14;37.38;78.06;67.22;49.17;161.82;34.77;32.27;239.59;166.28;42;38.56;72.51;0.23;40.77;48.2;0.06;20.08;21.08;139.57;67.69;70.16;9.72
SF1F00199-3-1;0;1.93;0;0;0;0;0;0;0;0.92;0;0;0;0;0;2.81;1.22;0;0;1.63;0;0.23;0;0;0;0;0.72;0;0;0
SF1F00235-3-1;0.91;2.24;0;0.97;1.07;0;1.68;1.05;1.35;0.76;0.26;0.29;2.3;1.9;0;1.22;1.09;0.88;1.61;0.91;0;0.58;0.12;0;0.28;1.26;2.18;0.33;0.8;0.05
SF1F00295-5-1;3.45;34.42;0;4;41.66;0;7.84;1.4;3.11;3.55;0.77;0.86;42.86;3.54;2.52;51.73;1.21;1.98;2.56;2.92;0;1.52;5.53;0;0.87;2.01;34.08;1.93;4.76;0.22
SF1F00310-5-1 Cluster_SF1F00214-3-1;435.98;1185.45;0;448.19;262.94;0;61.83;649.63;165.78;76.17;396.77;73.78;823.78;25.24;303.01;308.51;109.05;334.5;112.42;462.57;0.22;61.53;318.4;0;316.12;33.88;966.39;417.19;163.55;17.09
SF1F00331-5-1;0;0;3.73;0;0;9.12;0;0;0;0;0;0.08;0;0;0;0;0;0;0;0;4.12;0;0.13;14.55;0;0;0;0;0;4.11
SF1F00332-5-1 Cluster_SF1F00064-3-1;5862.96;7497.68;22.29;5788.23;8191.88;6.28;4077.25;1502.39;2284.04;2075.34;735.1;324.3;11554.37;1704.92;735.52;11046.69;2472.5;928.58;1819.43;6167.9;33.44;1085.56;5463.42;7.48;1125.3;1100.23;9011.8;1472.41;2800.03;1227.96
SF1F00378-5-1 Cluster_SF1F00282-3-1;21.13;362.17;0.05;29.23;248.63;0.04;323.86;39;58.91;55.59;22.61;16.25;244.39;198.11;41.42;410.58;13.28;5.11;60.61;16.95;0.13;54.32;70.71;0;14.03;34.78;370.09;12.52;53.95;12.73
SF1F00396-3-1 Cluster_SF1F00396-3-1;320.5;206.53;0.12;285.05;432.52;0.1;178.11;160.25;159.63;253.45;295.21;64.27;183.74;46.52;77.52;440.72;371.14;153.4;136.05;346.43;1.29;103.14;286.57;0;50.06;41.97;178.1;333.72;193.74;56.87
SF1F00442-3-1 Cluster_SF1F00064-3-1;18234.3;9045.57;1.15;14287;10056.02;0.82;3359.4;2001.24;2349.79;2707.97;1328.68;681.13;10710.59;1134.64;1468.09;12559.98;3848.64;1414.13;1970.14;21271.92;62.29;1526.83;12393.06;0.68;1189.09;976.4;9695.85;3124.78;5024.86;2490.41
SF1F00482-5-1 Cluster_SF1F00386-3-1;4.28;54.51;12.84;13.11;24.32;4.93;10.8;27.16;1.72;5.56;12.38;7.15;43.93;5.42;30.67;19.05;5.41;5.61;1.01;6.38;57.95;3.4;11.46;30.96;5.83;1.15;49.4;23.06;12.19;60.71
SF1F00486-5-1 Cluster_SF9L00521;55.38;85.19;0.22;28.22;69.63;1.12;45.91;51.44;46.51;50.62;52.15;32.69;90.26;41.72;52.51;71.48;51.51;48.35;43.3;49.27;0.8;43.75;56.45;0.2;44.55;55.93;77.92;64.85;45.84;3.34
SF1F00492-5-1 Cluster_SF1F00396-3-1;927.51;383.1;0.09;407.5;491.06;0.15;381.68;416.47;409.4;401.81;333.64;157.42;399.99;116.66;304.11;388.98;505.61;305.52;333.46;1099.7;1.68;228.73;345.02;0;189.66;96.87;419.05;457.23;408.63;67.48
SF1F00495-5-1 Cluster_SF1F00399-3-1;8732.02;6395.72;1.85;7532.46;10695.15;1.13;3394.95;4595.45;4555.39;4016.73;3850.95;3428.91;5575.6;2084.14;5746.85;9046.9;4969.16;3711.31;4023.87;7757.75;25.08;3849.46;6393.09;0.69;2549.19;1638.56;8576.56;5778.98;5200.03;1091.9
SF1F00498-5-1;8.42;26.53;0;3.32;15.28;0;19.4;3.45;14.62;7.29;2.14;3.62;25.2;12.67;4.06;17.86;4.09;2.11;7.52;6.42;0.04;7.52;6.14;0;2.87;7.46;23.4;1.36;13.15;0.36
